ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000075711"	"DLG1"	chr3	-	196792146	196792680	196792146	196792319	196792578	196792680	0	5,3,3	399,378,405	5,5,6	130,130,121	202	101	0.105865258162	0.419215084538	0.006,0.004,0.004	0.019,0.019,0.024	-0.016
1	"ENSG00000170291"	"ELP5"	chr17	+	7161906	7163259	7161906	7162002	7162889	7163259	1	3,1,4	17,13,6	0,0,0	1,1,5	202	101	0.00222111243786	0.0154777034201	0.081,0.037,0.25	0.0,0.0,0.0	0.123
2	"ENSG00000196576"	"PLXNB2"	chr22	-	50719788	50720171	50719788	50719928	50719994	50720171	2	25,25,22	444,354,364	9,16,2	159,170,132	166	101	0.62741562989	1.0	0.033,0.041,0.035	0.033,0.054,0.009	0.004
9	"ENSG00000170364"	"SETMAR"	chr3	+	4354581	4355445	4354581	4354913	4355350	4355445	9	0,2,2	0,0,1	0,2,1	1,0,0	202	101	1	1.0	NA,1.0,0.5	0.0,1.0,1.0	0.083
10	"ENSG00000169994"	"MYO7B"	chr2	+	128391750	128392258	128391750	128391864	128392170	128392258	10	0,1,0	53,56,63	0,1,1	18,19,13	202	101	1	1.0	0.0,0.009,0.0	0.0,0.026,0.037	-0.018
11	"ENSG00000169994"	"MYO7B"	chr2	+	128391750	128393482	128391750	128392258	128393296	128393482	11	0,0,1	0,2,1	2,1,0	0,0,1	202	101	1	1.0	NA,0.0,0.333	1.0,1.0,0.0	-0.5
13	"ENSG00000205250"	"E2F4"	chr16	+	67226663	67227073	67226663	67226727	67226911	67227073	13	114,111,97	0,0,1	42,56,44	0,0,0	202	101	1	1.0	1.0,1.0,0.98	1.0,1.0,1.0	-0.007
14	"ENSG00000205250"	"E2F4"	chr16	+	67226663	67227073	67226663	67226773	67226911	67227073	14	0,0,0	259,259,261	2,0,0	11,16,23	202	101	1	1.0	0.0,0.0,0.0	0.083,0.0,0.0	-0.028
15	"ENSG00000186866"	"POFUT2"	chr21	-	46683842	46687628	46683842	46685550	46687504	46687628	15	8,4,8	162,131,144	6,7,5	93,111,98	202	101	0.518573321287	1.0	0.024,0.015,0.027	0.031,0.031,0.025	-0.007
16	"ENSG00000129219"	"PLD2"	chr17	+	4711278	4711711	4711278	4711409	4711568	4711711	16	0,1,0	26,27,38	0,0,0	1,2,1	202	101	1	1.0	0.0,0.018,0.0	0.0,0.0,0.0	0.006
