ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"ENSMUSG00000025470.11"	"Zfp511"	chr7	+	140039325	140040602	140039325	140039445	140040242	140040602	3	4,14,6	56,217,61	10,14,26	115,174,179	200	100	0.106401175087	0.43220333012	0.034,0.031,0.047	0.042,0.039,0.068	-0.012
5	"ENSMUSG00000028849.17"	"Map7d1"	chr4	-	126233892	126234236	126233892	126233997	126234097	126234236	5	5,14,6	138,308,100	6,13,16	226,324,336	199	100	0.751233435266	1.0	0.018,0.022,0.029	0.013,0.02,0.023	0.004
6	"ENSMUSG00000028849.17"	"Map7d1"	chr4	-	126236895	126237278	126236895	126237059	126237155	126237278	6	21,34,10	8,19,0	19,48,46	7,18,10	195	100	0.853996885081	1.0	0.574,0.479,1.0	0.582,0.578,0.702	0.064
7	"ENSMUSG00000033088.19"	"Triobp"	chr15	+	78991328	78993432	78991328	78991438	78992903	78993432	7	0,2,5	77,254,64	1,4,12	185,203,220	200	100	0.752700501612	1.0	0.0,0.004,0.038	0.003,0.01,0.027	0.001
8	"ENSMUSG00000035458.15"	"Tnni3"	chr7	-	4521815	4522082	4521815	4521902	4522069	4522082	8	3,15,4	63,156,44	18,10,10	113,164,116	200	100	0.483560190994	0.915358928252	0.023,0.046,0.043	0.074,0.03,0.041	-0.011
9	"ENSMUSG00000014850.15"	"Msh3"	chr13	-	92342245	92345101	92342245	92342412	92344955	92345101	9	4,9,5	38,127,43	3,2,26	48,65,96	200	100	0.110241654554	0.440778665418	0.05,0.034,0.055	0.03,0.015,0.119	-0.008
11	"ENSMUSG00000026409.14"	"Pfkfb2"	chr1	-	130697696	130698743	130697696	130698085	130698678	130698743	11	1,4,0	8,18,7	3,0,11	12,19,21	200	100	0.111085693269	0.441236855761	0.059,0.1,0.0	0.111,0.0,0.208	-0.053
13	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895378	70895709	70895378	70895507	70895599	70895709	13	183,599,225	7618,21445,6779	371,531,597	13119,18777,17456	191	100	0.493626337607	0.919791612007	0.012,0.014,0.017	0.015,0.015,0.018	-0.002
14	"ENSMUSG00000045128.9"	"Rpl18a"	chr8	-	70895599	70896045	70895599	70895709	70895915	70896045	14	68,207,79	6389,18196,5893	144,180,318	10810,14797,14130	200	100	0.819669863155	1.0	0.005,0.006,0.007	0.007,0.006,0.011	-0.002
15	"ENSMUSG00000003437.14"	"Paf1"	chr7	+	28395417	28395695	28395417	28395539	28395628	28395695	15	6,20,9	130,458,127	19,21,41	292,341,365	188	100	0.017940395959	0.171436161958	0.024,0.023,0.036	0.033,0.032,0.056	-0.013
16	"ENSMUSG00000024188.16"	"Luc7l"	chr17	+	26253973	26255125	26253973	26254044	26255030	26255125	16	50,96,48	30,68,20	85,98,214	47,49,71	200	100	0.1542542298	0.528170283761	0.455,0.414,0.545	0.475,0.5,0.601	-0.054
